firmware_version,release_date,previous_version,days_since_previous_release,patch_size_mb,files_changed,lines_changed,is_hotfix,patch_security,code_churn_score,avg_device_age_days,previous_version_error_rate,error_rate_per_10k,pre_errors,post_errors,delta_errors,post_pre_ratio,tickets,rmas,rma_rate,error_events
10.0.1,2024-01-30,9.9.9,90.0,25.626852509776754,394,8775,False,False,0.24575,352.9959829920815,0.0,2576.0263816280535,3,38,35,9.75,158,10,0.06329113924050633,59
10.0.2,2024-02-22,10.0.1,23.0,9.758058585203502,43,721,False,True,0.037173913043478266,299.16258912023926,3892.1917608330677,2900.7695559211447,30,38,8,1.2580645161290323,226,4,0.017699115044247787,51
10.1.0,2024-03-15,10.0.2,22.0,13.058098633486281,226,5857,False,True,0.24611363636363637,398.47564139563076,1116.2808593089371,2341.423806788808,16,30,14,1.8235294117647058,108,3,0.027777777777777776,47
10.1.1,2024-04-06,10.1.0,22.0,15.213944208322467,154,4128,False,False,0.1708181818181818,278.4825467175,1226.970290397297,2405.729401334194,14,22,8,1.5333333333333334,101,9,0.0891089108910891,44
10.2.0,2024-05-16,10.1.1,40.0,18.381104705365534,170,3923,False,False,0.1340375,724.6635518879349,1129.2722283562587,2488.750671151439,10,37,27,3.4545454545454546,220,8,0.03636363636363636,49
10.2.1,2024-06-17,10.2.0,32.0,11.09378170754229,73,858,False,False,0.04990625,296.477454483741,2724.5917787231224,2147.601908529577,32,23,-9,0.7272727272727273,123,2,0.016260162601626018,42
10.3.0,2024-07-07,10.2.1,20.0,13.87789059782039,84,1912,False,False,0.08979999999999999,154.7093951532203,2448.48545419644,2885.2602128172234,24,33,9,1.36,197,14,0.07106598984771574,66
10.4.0,2024-08-06,10.3.0,30.0,21.43512166428168,176,5624,False,False,0.18173333333333336,437.69932959327286,1841.4623075835432,2330.4891796224647,16,24,8,1.4705882352941178,141,10,0.07092198581560284,47
10.4.1,2024-09-02,10.4.0,27.0,11.064745750984555,127,1782,False,True,0.0965,127.6853917738164,1081.9809383610348,2255.639639581917,11,22,11,1.9166666666666667,98,3,0.030612244897959183,49
10.4.2,2024-09-07,10.4.1,5.0,23.42561393907253,580,23768,False,False,2.6668000000000003,162.95848976366315,2092.3767916399242,6223.770999000378,17,60,43,3.388888888888889,305,11,0.036065573770491806,123
10.4.3,2024-09-21,10.4.2,14.0,14.28907491749033,177,2610,False,True,0.18171428571428572,234.79699686952256,435.3778726641957,2392.8380399144717,7,22,15,2.875,73,3,0.0410958904109589,53
10.4.4,2024-10-19,10.4.3,28.0,8.271860615685945,131,2662,False,False,0.11303571428571428,396.4711649222135,2143.426566857493,2718.4587073215184,29,30,1,1.0333333333333334,129,1,0.007751937984496124,55
10.5.0,2024-11-27,10.4.4,39.0,29.837057555388288,507,6730,False,False,0.33978205128205125,375.9456153239584,2871.524386087934,3312.2052359169775,26,34,8,1.2962962962962963,184,14,0.07608695652173914,65
10.5.1,2024-12-19,10.5.0,22.0,13.553532892078493,212,4713,False,False,0.21311363636363637,617.7966289218422,748.8008633663221,2198.2282430354467,5,21,16,3.6666666666666665,94,3,0.031914893617021274,52
10.5.2,2025-01-07,10.5.1,19.0,22.670737971981456,331,853,False,False,0.18794736842105264,578.0532715635148,467.4817231703363,1961.7204682734914,1,27,26,14.0,137,11,0.08029197080291971,47
10.6.0,2025-02-02,10.5.2,26.0,24.615261636126377,222,3228,False,False,0.1730769230769231,371.37007403386286,3579.4378916948594,3401.2251339991462,41,19,-22,0.47619047619047616,99,8,0.08080808080808081,58
10.6.1,2025-02-20,10.6.0,18.0,17.426396849218808,388,3523,False,False,0.29186111111111107,310.24477699991576,1388.2403604954152,3356.896042838461,12,36,24,2.8461538461538463,135,9,0.06666666666666667,76
10.6.2,2025-03-14,10.6.1,22.0,18.329474439618135,441,9417,False,False,0.4345227272727272,298.86939748058904,3135.947845943822,3364.6123761483486,28,37,9,1.3103448275862069,208,8,0.038461538461538464,57
10.7.0,2025-04-07,10.6.2,24.0,11.799085752840726,78,2336,False,False,0.08766666666666666,600.836757614046,1846.0023348021682,2604.7643524541145,20,31,11,1.5238095238095237,135,7,0.05185185185185185,62
10.7.1,2025-04-21,10.7.0,14.0,8.14968164987674,81,2143,False,False,0.1170357142857143,124.36778810603803,1838.0451830586726,2533.8348175418746,18,25,7,1.368421052631579,90,4,0.044444444444444446,49
10.7.2,2025-05-24,10.7.1,33.0,18.85165493532368,256,100,False,False,0.1295151515151515,98.46228867699985,2438.412699496645,2503.7104752180653,23,26,3,1.125,145,5,0.034482758620689655,52
10.7.3,2025-06-05,10.7.2,12.0,24.05227348532052,245,9903,False,False,0.535125,615.0592986715877,1116.0011432535593,3166.1212346922816,9,36,27,3.7,153,13,0.08496732026143791,56
10.7.4,2025-06-16,10.7.3,11.0,20.54176554810873,360,8263,True,False,0.555590909090909,404.91660815277254,2132.4971434956456,4265.577283557492,19,50,31,2.55,262,14,0.05343511450381679,89
10.7.5,2025-07-12,10.7.4,26.0,30.481238165265623,346,4233,False,False,0.25440384615384615,176.38155144536015,1618.5105851759074,2708.412455304123,14,25,11,1.7333333333333334,116,9,0.07758620689655173,40
10.8.0,2025-08-13,10.7.5,32.0,30.974838775227372,800,17257,False,False,0.669640625,245.47351683237082,679.5065565949687,3344.671237465587,7,34,27,4.375,140,2,0.014285714285714285,69
10.9.0,2025-09-08,10.8.0,26.0,15.276419899693103,320,6964,False,False,0.2939230769230769,705.4526090442724,2337.482074726399,3148.495421252645,25,39,14,1.5384615384615385,211,4,0.018957345971563982,59
10.9.1,2025-10-01,10.9.0,23.0,19.506638906329478,313,4173,False,False,0.2472173913043478,657.2719639124326,1736.6921931220838,3195.594738352361,21,21,0,1.0,99,9,0.09090909090909091,68
10.9.2,2025-10-22,10.9.1,21.0,19.87337303887055,400,8792,False,False,0.4093333333333334,558.4581331478219,1842.9751715552923,3018.886821308058,19,26,7,1.35,108,6,0.05555555555555555,69
10.9.3,2025-11-11,10.9.2,20.0,14.769411695438825,303,4219,False,False,0.256975,408.26865202263554,789.8390565858422,2574.059019312459,4,33,29,6.8,109,6,0.05504587155963303,49
